"Comune";"Area_provenienza";"Paese_provenienza";"MeasuresLevel";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Castelfranco Piandisco";"Altri Paesi Europei";"Slovenia";"Arrivi";"";"";"";"";"";"";"";"";"";"";"4.0";"2.0";"3.0";"5.0"
"Castelfranco Piandisco";"Altri Paesi Europei";"Svizzera (incluso Liechtenstein)";"Arrivi";"";"";"";"";"";"";"";"";"";"14.0";"16.0";"24.0";"21.0";"24.0"
"Castelfranco Piandisco";"Altri Paesi Europei";"Turchia";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"";"1.0";""
"Castelfranco Piandisco";"Altri Paesi Europei";"Ucraina";"Arrivi";"";"";"";"";"";"";"";"";"";"6.0";"17.0";"2.0";"9.0";"5.0"
"Castelfranco Piandisco";"Altri Paesi Europei";"Ungheria";"Arrivi";"";"";"";"";"";"";"";"";"";"2.0";"38.0";"2.0";"8.0";"7.0"
"Castelfranco Piandisco";"Altri Paesi Extraeuropei";"Non specificato";"Arrivi";"";"";"";"";"";"";"";"";"";"1.0";"3.0";"";"";""
"Castelfranco Piandisco";"Paesi Africani";"Altri Paesi dell'Africa";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"2.0";"1.0";""
"Castelfranco Piandisco";"Paesi Africani";"Egitto";"Arrivi";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";""
"Castelfranco Piandisco";"Paesi Africani";"Sud Africa";"Arrivi";"";"";"";"";"";"";"";"";"";"";"5.0";"";"2.0";""
"Castelfranco Piandisco";"Paesi Asiatici";"Altri Paesi Asia Occidentale";"Arrivi";"";"";"";"";"";"";"";"";"";"3.0";"";"";"1.0";"4.0"
"Castelfranco Piandisco";"Paesi Asiatici";"Altri Paesi dell'Asia";"Arrivi";"";"";"";"";"";"";"";"";"";"2.0";"1.0";"13.0";"9.0";"2.0"
"Castelfranco Piandisco";"Paesi Asiatici";"Cina (incluso Hong Kong)";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"2.0";"9.0";"7.0"
"Castelfranco Piandisco";"Paesi Asiatici";"Corea del Sud";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"";"4.0";"3.0"
"Castelfranco Piandisco";"Paesi Asiatici";"Giappone";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"4.0";"6.0";"4.0"
"Castelfranco Piandisco";"Paesi Asiatici";"India";"Arrivi";"";"";"";"";"";"";"";"";"";"3.0";"1.0";"";"3.0";"4.0"
"Castelfranco Piandisco";"Paesi Asiatici";"Israele";"Arrivi";"";"";"";"";"";"";"";"";"";"7.0";"6.0";"5.0";"7.0";"8.0"
"Castelfranco Piandisco";"Paesi dell'Oceania";"Australia";"Arrivi";"";"";"";"";"";"";"";"";"";"2.0";"29.0";"20.0";"5.0";"11.0"
"Castelfranco Piandisco";"Paesi dell'Oceania";"Nuova Zelanda";"Arrivi";"";"";"";"";"";"";"";"";"";"2.0";"3.0";"1.0";"1.0";"13.0"
"Castelfranco Piandisco";"Paesi delle Americhe";"Altri Paesi Centro-Sud America";"Arrivi";"";"";"";"";"";"";"";"";"";"";"3.0";"6.0";"8.0";"1.0"
"Castelfranco Piandisco";"Paesi delle Americhe";"Altri Paesi o territori Nord-Americani";"Arrivi";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";""
"Castelfranco Piandisco";"Paesi delle Americhe";"Argentina";"Arrivi";"";"";"";"";"";"";"";"";"";"2.0";"";"2.0";"3.0";"1.0"
"Castelfranco Piandisco";"Paesi delle Americhe";"Brasile";"Arrivi";"";"";"";"";"";"";"";"";"";"3.0";"5.0";"2.0";"";"4.0"
"Castelfranco Piandisco";"Paesi delle Americhe";"Canada";"Arrivi";"";"";"";"";"";"";"";"";"";"9.0";"11.0";"27.0";"23.0";"29.0"
"Castelfranco Piandisco";"Paesi delle Americhe";"Messico";"Arrivi";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";""
"Castelfranco Piandisco";"Paesi delle Americhe";"Stati Uniti d'America";"Arrivi";"";"";"";"";"";"";"";"";"";"29.0";"46.0";"32.0";"65.0";"93.0"
"Castelfranco Piandisco";"Paesi delle Americhe";"Venezuela";"Arrivi";"";"";"";"";"";"";"";"";"";"";"1.0";"";"";""
"Castelfranco Piandisco";"Unione Europea";"Austria";"Arrivi";"";"";"";"";"";"";"";"";"";"13.0";"30.0";"12.0";"44.0";"41.0"
"Castelfranco Piandisco";"Unione Europea";"Belgio";"Arrivi";"";"";"";"";"";"";"";"";"";"125.0";"83.0";"131.0";"105.0";"58.0"
"Castelfranco Piandisco";"Unione Europea";"Bulgaria";"Arrivi";"";"";"";"";"";"";"";"";"";"3.0";"";"";"4.0";"12.0"
"Castelfranco Piandisco";"Unione Europea";"Croazia";"Arrivi";"";"";"";"";"";"";"";"";"";"3.0";"4.0";"";"3.0";"5.0"
"Castelfranco Piandisco";"Unione Europea";"Danimarca";"Arrivi";"";"";"";"";"";"";"";"";"";"85.0";"143.0";"109.0";"74.0";"124.0"
"Castelfranco Piandisco";"Unione Europea";"Estonia";"Arrivi";"";"";"";"";"";"";"";"";"";"";"3.0";"4.0";"1.0";"2.0"
"Castelfranco Piandisco";"Unione Europea";"Finlandia";"Arrivi";"";"";"";"";"";"";"";"";"";"7.0";"4.0";"11.0";"";"4.0"
"Castelfranco Piandisco";"Unione Europea";"Francia";"Arrivi";"";"";"";"";"";"";"";"";"";"113.0";"107.0";"119.0";"170.0";"131.0"
"Castelfranco Piandisco";"Unione Europea";"Germania";"Arrivi";"";"";"";"";"";"";"";"";"";"266.0";"374.0";"226.0";"314.0";"314.0"
"Castelfranco Piandisco";"Unione Europea";"Grecia";"Arrivi";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";""
"Castelfranco Piandisco";"Unione Europea";"Irlanda";"Arrivi";"";"";"";"";"";"";"";"";"";"3.0";"17.0";"2.0";"21.0";"15.0"
"Castelfranco Piandisco";"Unione Europea";"Lettonia";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"2.0";"";"2.0"
"Castelfranco Piandisco";"Unione Europea";"Lituania";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"1.0";"";"5.0"
"Castelfranco Piandisco";"Unione Europea";"Lussemburgo";"Arrivi";"";"";"";"";"";"";"";"";"";"";"7.0";"";"2.0";"1.0"
"Castelfranco Piandisco";"Unione Europea";"Malta";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.0"
"Castelfranco Piandisco";"Unione Europea";"Paesi Bassi";"Arrivi";"";"";"";"";"";"";"";"";"";"307.0";"321.0";"262.0";"205.0";"260.0"
"Castelfranco Piandisco";"Unione Europea";"Portogallo";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"";"2.0";""
"Castelfranco Piandisco";"Unione Europea";"Regno Unito";"Arrivi";"";"";"";"";"";"";"";"";"";"28.0";"74.0";"58.0";"64.0";"159.0"
"Castelfranco Piandisco";"Unione Europea";"Romania";"Arrivi";"";"";"";"";"";"";"";"";"";"1.0";"1.0";"2.0";"17.0";"9.0"
"Castelfranco Piandisco";"Unione Europea";"Spagna";"Arrivi";"";"";"";"";"";"";"";"";"";"23.0";"27.0";"23.0";"19.0";"26.0"
"Castelfranco Piandisco";"Unione Europea";"Svezia";"Arrivi";"";"";"";"";"";"";"";"";"";"13.0";"3.0";"10.0";"21.0";"5.0"
"Castelfranco di Sopra";"Italia";"Abruzzo";"Arrivi";"15.0";"5.0";"6.0";"12.0";"8.0";"2.0";"7.0";"4.0";"23.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Basilicata";"Arrivi";"";"2.0";"10.0";"1.0";"10.0";"1.0";"2.0";"5.0";"20.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Bolzano-Bozen";"Arrivi";"";"1.0";"6.0";"4.0";"";"2.0";"7.0";"9.0";"2.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Calabria";"Arrivi";"7.0";"3.0";"2.0";"6.0";"9.0";"";"3.0";"6.0";"5.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Campania";"Arrivi";"52.0";"39.0";"75.0";"85.0";"92.0";"34.0";"44.0";"38.0";"47.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Emilia-Romagna";"Arrivi";"52.0";"50.0";"50.0";"35.0";"42.0";"68.0";"49.0";"49.0";"47.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Friuli-V. Giulia";"Arrivi";"24.0";"16.0";"10.0";"9.0";"13.0";"21.0";"25.0";"18.0";"19.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Lazio";"Arrivi";"102.0";"169.0";"73.0";"126.0";"129.0";"100.0";"114.0";"112.0";"167.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Liguria";"Arrivi";"20.0";"6.0";"42.0";"14.0";"45.0";"19.0";"45.0";"40.0";"32.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Lombardia";"Arrivi";"86.0";"113.0";"78.0";"178.0";"134.0";"84.0";"134.0";"110.0";"204.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Marche";"Arrivi";"32.0";"27.0";"34.0";"36.0";"38.0";"14.0";"32.0";"12.0";"28.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Molise";"Arrivi";"";"2.0";"";"8.0";"1.0";"10.0";"1.0";"5.0";"1.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Piemonte";"Arrivi";"20.0";"17.0";"89.0";"22.0";"14.0";"14.0";"24.0";"12.0";"30.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Puglia";"Arrivi";"24.0";"17.0";"23.0";"35.0";"54.0";"6.0";"8.0";"4.0";"7.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Sardegna";"Arrivi";"2.0";"2.0";"";"4.0";"7.0";"";"1.0";"7.0";"2.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Sicilia";"Arrivi";"13.0";"27.0";"11.0";"3.0";"7.0";"5.0";"14.0";"8.0";"7.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Toscana";"Arrivi";"42.0";"49.0";"50.0";"82.0";"97.0";"59.0";"111.0";"136.0";"99.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Trento";"Arrivi";"2.0";"2.0";"2.0";"1.0";"2.0";"6.0";"";"10.0";"6.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Umbria";"Arrivi";"6.0";"7.0";"4.0";"5.0";"5.0";"7.0";"";"1.0";"11.0";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Valle d'Aosta";"Arrivi";"2.0";"";"2.0";"";"";"";"3.0";"0.0";"";"";"";"";"";""
"Castelfranco di Sopra";"Italia";"Veneto";"Arrivi";"74.0";"102.0";"84.0";"65.0";"101.0";"57.0";"53.0";"72.0";"49.0";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Altri Paesi Europei";"Arrivi";"20.0";"18.0";"74.0";"55.0";"7.0";"14.0";"19.0";"5.0";"9.0";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Islanda";"Arrivi";"";"";"1.0";"";"8.0";"";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Norvegia";"Arrivi";"";"0.0";"3.0";"2.0";"";"";"";"";"8.0";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Polonia";"Arrivi";"7.0";"0.0";"30.0";"13.0";"9.0";"33.0";"15.0";"26.0";"23.0";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Repubblica Ceca";"Arrivi";"";"";"";"";"2.0";"";"2.0";"6.0";"1.0";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Russia";"Arrivi";"";"1.0";"2.0";"2.0";"";"";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Slovacchia";"Arrivi";"";"";"2.0";"";"";"";"";"1.0";"";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Slovenia";"Arrivi";"1.0";"";"2.0";"4.0";"";"";"4.0";"7.0";"";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Svizzera";"Arrivi";"7.0";"";"";"";"4.0";"8.0";"31.0";"2.0";"";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Svizzera (incluso Liechtenstein)";"Arrivi";"";"";"";"";"";"";"";"11.0";"6.0";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Europei";"Ungheria";"Arrivi";"18.0";"11.0";"7.0";"8.0";"4.0";"4.0";"";"6.0";"";"";"";"";"";""
"Castelfranco di Sopra";"Altri Paesi Extraeuropei";"Paesi e territori non indicati";"Arrivi";"";"4.0";"8.0";"";"4.0";"";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi Africani";"Altri Paesi Africa Mediterranea";"Arrivi";"";"2.0";"7.0";"";"5.0";"";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi Africani";"Altri Paesi dell'Africa centrale e del sud";"Arrivi";"";"";"";"1.0";"";"";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi Africani";"Sud Africa";"Arrivi";"2.0";"2.0";"";"";"";"3.0";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi Asiatici";"Altri Paesi dell'Asia";"Arrivi";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";""
"Castelfranco di Sopra";"Paesi Asiatici";"Altri Paesi dell'Asia orientale";"Arrivi";"1.0";"";"1.0";"";"";"5.0";"4.0";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi Asiatici";"Cina (incluso Hong Kong)";"Arrivi";"";"1.0";"";"";"";"";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi Asiatici";"Corea del Sud";"Arrivi";"";"";"";"";"";"";"3.0";"9.0";"1.0";"";"";"";"";""
"Castelfranco di Sopra";"Paesi Asiatici";"Giappone";"Arrivi";"3.0";"8.0";"1.0";"";"";"12.0";"";"1.0";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi Asiatici";"Israele";"Arrivi";"5.0";"2.0";"2.0";"";"6.0";"6.0";"2.0";"6.0";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi dell'Oceania";"Australia";"Arrivi";"2.0";"6.0";"4.0";"17.0";"1.0";"";"2.0";"2.0";"11.0";"";"";"";"";""
"Castelfranco di Sopra";"Paesi dell'Oceania";"Nuova Zelanda";"Arrivi";"2.0";"2.0";"0.0";"1.0";"";"";"";"";"8.0";"";"";"";"";""
"Castelfranco di Sopra";"Paesi delle Americhe";"Altri Paesi America Latina";"Arrivi";"";"4.0";"";"";"";"1.0";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi delle Americhe";"Altri Paesi Centro-Sud America";"Arrivi";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";""
"Castelfranco di Sopra";"Paesi delle Americhe";"Argentina";"Arrivi";"1.0";"";"";"";"1.0";"";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi delle Americhe";"Brasile";"Arrivi";"1.0";"2.0";"";"";"6.0";"";"1.0";"";"3.0";"";"";"";"";""
"Castelfranco di Sopra";"Paesi delle Americhe";"Canada";"Arrivi";"";"4.0";"7.0";"11.0";"7.0";"13.0";"2.0";"3.0";"10.0";"";"";"";"";""
"Castelfranco di Sopra";"Paesi delle Americhe";"Messico";"Arrivi";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Paesi delle Americhe";"Stati Uniti d'America";"Arrivi";"11.0";"25.0";"10.0";"14.0";"8.0";"1.0";"15.0";"10.0";"5.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Austria";"Arrivi";"23.0";"28.0";"8.0";"12.0";"7.0";"3.0";"6.0";"11.0";"2.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Belgio";"Arrivi";"109.0";"105.0";"65.0";"148.0";"150.0";"122.0";"102.0";"84.0";"89.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Croazia";"Arrivi";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Danimarca";"Arrivi";"171.0";"251.0";"172.0";"153.0";"79.0";"98.0";"84.0";"77.0";"52.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Estonia";"Arrivi";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Finlandia";"Arrivi";"";"";"4.0";"10.0";"3.0";"4.0";"4.0";"";"7.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Francia";"Arrivi";"68.0";"87.0";"76.0";"58.0";"46.0";"91.0";"48.0";"83.0";"71.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Germania";"Arrivi";"289.0";"263.0";"273.0";"215.0";"174.0";"170.0";"173.0";"124.0";"177.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Irlanda";"Arrivi";"2.0";"1.0";"";"1.0";"";"4.0";"27.0";"";"2.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Lituania";"Arrivi";"";"";"";"";"";"";"";"2.0";"1.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Lussemburgo";"Arrivi";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Paesi Bassi";"Arrivi";"93.0";"113.0";"85.0";"179.0";"249.0";"116.0";"208.0";"173.0";"209.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Portogallo";"Arrivi";"";"1.0";"";"";"";"";"";"";"";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Regno Unito";"Arrivi";"100.0";"47.0";"40.0";"57.0";"25.0";"19.0";"7.0";"13.0";"35.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Romania";"Arrivi";"";"";"";"";"";"";"";"2.0";"9.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Spagna";"Arrivi";"18.0";"10.0";"35.0";"18.0";"";"13.0";"20.0";"7.0";"6.0";"";"";"";"";""
"Castelfranco di Sopra";"Unione Europea";"Svezia";"Arrivi";"9.0";"11.0";"8.0";"2.0";"";"";"";"1.0";"";"";"";"";"";""
"Castelfranco di Sotto";"Italia";"Abruzzo";"Arrivi";"7.0";"";"4.0";"";"6.0";"3.0";"";"";"";"";"1.0";"6.0";"4.0";"5.0"
"Castelfranco di Sotto";"Italia";"Basilicata";"Arrivi";"";"2.0";"";"";"";"";"";"";"1.0";"2.0";"";"";"4.0";""
"Castelfranco di Sotto";"Italia";"Bolzano-Bozen";"Arrivi";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";""
"Castelfranco di Sotto";"Italia";"Calabria";"Arrivi";"2.0";"1.0";"12.0";"8.0";"3.0";"23.0";"";"3.0";"";"3.0";"2.0";"";"6.0";"2.0"
"Castelfranco di Sotto";"Italia";"Campania";"Arrivi";"7.0";"31.0";"21.0";"26.0";"28.0";"9.0";"4.0";"21.0";"6.0";"12.0";"6.0";"13.0";"6.0";"30.0"
"Castelfranco di Sotto";"Italia";"Emilia-Romagna";"Arrivi";"47.0";"46.0";"38.0";"59.0";"36.0";"26.0";"21.0";"57.0";"38.0";"40.0";"21.0";"21.0";"19.0";"9.0"
"Castelfranco di Sotto";"Italia";"Friuli-V. Giulia";"Arrivi";"13.0";"9.0";"7.0";"2.0";"4.0";"4.0";"9.0";"5.0";"2.0";"";"4.0";"4.0";"1.0";"2.0"
"Castelfranco di Sotto";"Italia";"Lazio";"Arrivi";"219.0";"193.0";"206.0";"131.0";"109.0";"64.0";"78.0";"108.0";"35.0";"31.0";"52.0";"41.0";"46.0";"34.0"
"Castelfranco di Sotto";"Italia";"Liguria";"Arrivi";"51.0";"37.0";"27.0";"25.0";"36.0";"8.0";"9.0";"26.0";"7.0";"9.0";"23.0";"27.0";"12.0";"18.0"
"Castelfranco di Sotto";"Italia";"Lombardia";"Arrivi";"118.0";"90.0";"142.0";"162.0";"193.0";"141.0";"84.0";"131.0";"39.0";"67.0";"53.0";"74.0";"66.0";"84.0"
"Castelfranco di Sotto";"Italia";"Marche";"Arrivi";"8.0";"18.0";"20.0";"24.0";"32.0";"17.0";"12.0";"3.0";"2.0";"2.0";"30.0";"9.0";"16.0";"1.0"
"Castelfranco di Sotto";"Italia";"Molise";"Arrivi";"4.0";"";"";"";"2.0";"";"";"1.0";"";"";"";"";"";""
"Castelfranco di Sotto";"Italia";"Piemonte";"Arrivi";"45.0";"76.0";"95.0";"65.0";"66.0";"42.0";"29.0";"76.0";"24.0";"43.0";"27.0";"37.0";"39.0";"22.0"
"Castelfranco di Sotto";"Italia";"Puglia";"Arrivi";"3.0";"29.0";"33.0";"17.0";"17.0";"10.0";"7.0";"5.0";"7.0";"4.0";"8.0";"11.0";"3.0";"1.0"
"Castelfranco di Sotto";"Italia";"Regione italiana non indicata";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.0"
"Castelfranco di Sotto";"Italia";"Sardegna";"Arrivi";"3.0";"8.0";"";"6.0";"2.0";"";"";"9.0";"";"";"2.0";"3.0";"2.0";"1.0"
"Castelfranco di Sotto";"Italia";"Sicilia";"Arrivi";"11.0";"15.0";"4.0";"8.0";"11.0";"3.0";"3.0";"";"13.0";"";"1.0";"6.0";"6.0";"7.0"
"Castelfranco di Sotto";"Italia";"Toscana";"Arrivi";"34.0";"37.0";"47.0";"104.0";"32.0";"24.0";"21.0";"43.0";"37.0";"26.0";"11.0";"15.0";"11.0";"28.0"
"Castelfranco di Sotto";"Italia";"Trento";"Arrivi";"8.0";"14.0";"20.0";"13.0";"12.0";"4.0";"3.0";"17.0";"2.0";"2.0";"2.0";"10.0";"2.0";"1.0"
"Castelfranco di Sotto";"Italia";"Umbria";"Arrivi";"2.0";"";"14.0";"4.0";"7.0";"3.0";"8.0";"20.0";"8.0";"8.0";"12.0";"8.0";"6.0";"15.0"
"Castelfranco di Sotto";"Italia";"Valle d'Aosta";"Arrivi";"";"";"";"";"";"";"";"";"1.0";"";"";"2.0";"1.0";""
"Castelfranco di Sotto";"Italia";"Veneto";"Arrivi";"80.0";"40.0";"75.0";"63.0";"71.0";"10.0";"27.0";"43.0";"18.0";"10.0";"23.0";"40.0";"30.0";"31.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Albania";"Arrivi";"";"";"1.0";"";"";"";"";"";"";"";"";"";"";""
"Castelfranco di Sotto";"Altri Paesi Europei";"Altri Paesi Europei";"Arrivi";"2.0";"";"10.0";"5.0";"2.0";"1.0";"24.0";"3.0";"2.0";"";"";"";"8.0";"2.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Islanda";"Arrivi";"";"26.0";"";"6.0";"";"";"12.0";"";"";"4.0";"";"6.0";"";"30.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Iugoslavia";"Arrivi";"";"1.0";"";"";"";"";"";"";"";"";"";"";"";""
"Castelfranco di Sotto";"Altri Paesi Europei";"Norvegia";"Arrivi";"20.0";"17.0";"32.0";"24.0";"8.0";"12.0";"20.0";"";"12.0";"15.0";"18.0";"46.0";"23.0";"7.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Polonia";"Arrivi";"";"4.0";"4.0";"1.0";"2.0";"28.0";"";"26.0";"35.0";"6.0";"6.0";"4.0";"15.0";"22.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Repubblica Ceca";"Arrivi";"";"";"15.0";"";"";"26.0";"";"";"6.0";"";"";"";"";"4.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Russia";"Arrivi";"2.0";"";"";"";"";"16.0";"";"3.0";"6.0";"8.0";"";"2.0";"";"8.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Slovacchia";"Arrivi";"";"";"";"";"";"";"";"12.0";"8.0";"";"5.0";"";"";"2.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Slovenia";"Arrivi";"";"";"4.0";"3.0";"17.0";"";"37.0";"4.0";"12.0";"3.0";"";"";"2.0";""
"Castelfranco di Sotto";"Altri Paesi Europei";"Svizzera";"Arrivi";"21.0";"48.0";"59.0";"47.0";"48.0";"30.0";"64.0";"21.0";"";"";"";"";"";""
"Castelfranco di Sotto";"Altri Paesi Europei";"Svizzera (incluso Liechtenstein)";"Arrivi";"";"";"";"";"";"";"";"";"58.0";"45.0";"62.0";"56.0";"58.0";"61.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Turchia";"Arrivi";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"1.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Ucraina";"Arrivi";"";"";"";"5.0";"";"";"";"2.0";"2.0";"";"";"17.0";"6.0";"13.0"
"Castelfranco di Sotto";"Altri Paesi Europei";"Ungheria";"Arrivi";"";"4.0";"";"2.0";"12.0";"21.0";"";"10.0";"";"9.0";"";"";"2.0";"2.0"
"Castelfranco di Sotto";"Altri Paesi Extraeuropei";"Paesi e territori non indicati";"Arrivi";"";"";"42.0";"";"";"";"";"";"";"";"";"";"";""
"Castelfranco di Sotto";"Paesi Africani";"Altri Paesi Africa Mediterranea";"Arrivi";"2.0";"";"17.0";"2.0";"";"";"";"";"";"1.0";"";"";"";""
"Castelfranco di Sotto";"Paesi Africani";"Altri Paesi dell'Africa";"Arrivi";"";"";"";"";"";"";"";"";"";"2.0";"1.0";"1.0";"";""
"Castelfranco di Sotto";"Paesi Africani";"Altri Paesi dell'Africa centrale e del sud";"Arrivi";"";"";"";"";"3.0";"";"";"";"";"";"";"";"";""
"Castelfranco di Sotto";"Paesi Africani";"Sud Africa";"Arrivi";"";"";"2.0";"";"";"";"";"";"";"4.0";"";"";"";""
"Castelfranco di Sotto";"Paesi Asiatici";"Altri Paesi Asia Occidentale";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"";"4.0";"4.0"
"Castelfranco di Sotto";"Paesi Asiatici";"Altri Paesi dell'Asia";"Arrivi";"";"";"";"";"";"";"";"";"";"";"4.0";"";"2.0";"19.0"
"Castelfranco di Sotto";"Paesi Asiatici";"Cina (incluso Hong Kong)";"Arrivi";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";""
"Castelfranco di Sotto";"Paesi Asiatici";"Corea del Sud";"Arrivi";"";"";"";"";"";"1.0";"";"";"";"";"";"";"";""
"Castelfranco di Sotto";"Paesi Asiatici";"Giappone";"Arrivi";"";"";"";"";"";"1.0";"";"";"";"";"";"";"";""
"Castelfranco di Sotto";"Paesi Asiatici";"India";"Arrivi";"";"";"";"";"";"4.0";"";"8.0";"";"";"7.0";"";"";"12.0"
"Castelfranco di Sotto";"Paesi Asiatici";"Israele";"Arrivi";"";"";"";"";"14.0";"4.0";"16.0";"";"";"20.0";"17.0";"19.0";"6.0";"3.0"
"Castelfranco di Sotto";"Paesi Asiatici";"Paesi dell'Asia centro-occidentale";"Arrivi";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";""
"Castelfranco di Sotto";"Paesi dell'Oceania";"Australia";"Arrivi";"";"";"4.0";"16.0";"";"26.0";"";"2.0";"16.0";"11.0";"24.0";"45.0";"59.0";"27.0"
"Castelfranco di Sotto";"Paesi dell'Oceania";"Nuova Zelanda";"Arrivi";"";"4.0";"";"";"";"4.0";"";"";"";"";"3.0";"";"";""
"Castelfranco di Sotto";"Paesi delle Americhe";"Altri Paesi America Centrale";"Arrivi";"";"";"";"";"4.0";"1.0";"";"";"";"";"";"";"";""
