"Comune";"Area_provenienza";"Paese_provenienza";"MeasuresLevel";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Abbadia San Salvatore";"Altri Paesi Europei";"Repubblica Ceca";"Arrivi";"13.0";"80.0";"173.0";"194.0";"154.0";"103.0";"158.0";"122.0";"132.0";"64.0";"52.0";"86.0";"105.0";"36.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Repubblica di Moldova";"Arrivi";"4.0";"54.0";"10.0";"6.0";"2.0";"5.0";"3.0";"4.0";"";"";"";"";"";""
"Abbadia San Salvatore";"Altri Paesi Europei";"Russia";"Arrivi";"4.0";"4.0";"14.0";"9.0";"9.0";"4.0";"14.0";"5.0";"2.0";"15.0";"7.0";"7.0";"10.0";"21.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Slovacchia";"Arrivi";"5.0";"4.0";"2.0";"1.0";"";"2.0";"";"13.0";"";"";"";"2.0";"2.0";"9.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Slovenia";"Arrivi";"10.0";"22.0";"6.0";"8.0";"2.0";"13.0";"7.0";"6.0";"22.0";"12.0";"5.0";"38.0";"9.0";"22.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Svizzera";"Arrivi";"60.0";"140.0";"23.0";"20.0";"40.0";"42.0";"35.0";"29.0";"";"";"";"";"";""
"Abbadia San Salvatore";"Altri Paesi Europei";"Svizzera (incluso Liechtenstein)";"Arrivi";"";"";"";"";"";"";"";"";"42.0";"18.0";"34.0";"47.0";"35.0";"60.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Turchia";"Arrivi";"4.0";"2.0";"2.0";"";"1.0";"";"4.0";"";"2.0";"";"";"2.0";"2.0";""
"Abbadia San Salvatore";"Altri Paesi Europei";"Ucraina";"Arrivi";"30.0";"62.0";"105.0";"47.0";"29.0";"9.0";"2.0";"1.0";"1.0";"4.0";"2.0";"4.0";"5.0";"8.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Ungheria";"Arrivi";"5.0";"";"348.0";"";"";"3.0";"3.0";"3.0";"";"3.0";"25.0";"3.0";"5.0";"53.0"
"Abbadia San Salvatore";"Altri Paesi Extraeuropei";"Non specificato";"Arrivi";"";"";"";"";"";"";"";"";"1.0";"2.0";"6.0";"5.0";"58.0";"2.0"
"Abbadia San Salvatore";"Altri Paesi Extraeuropei";"Paesi e territori non indicati";"Arrivi";"";"2.0";"5.0";"";"2.0";"6.0";"1.0";"10.0";"";"";"";"";"";""
"Abbadia San Salvatore";"Paesi Africani";"Altri Paesi Africa Mediterranea";"Arrivi";"16.0";"20.0";"";"";"2.0";"1.0";"1.0";"";"1.0";"1.0";"";"3.0";"";"18.0"
"Abbadia San Salvatore";"Paesi Africani";"Altri Paesi dell'Africa";"Arrivi";"";"";"";"";"";"";"";"";"18.0";"2.0";"";"8.0";"6.0";"13.0"
"Abbadia San Salvatore";"Paesi Africani";"Altri Paesi dell'Africa centrale e del sud";"Arrivi";"11.0";"8.0";"3.0";"4.0";"4.0";"2.0";"4.0";"6.0";"";"";"";"";"";""
"Abbadia San Salvatore";"Paesi Africani";"Egitto";"Arrivi";"2.0";"";"4.0";"1.0";"";"";"";"";"";"1.0";"2.0";"";"3.0";""
"Abbadia San Salvatore";"Paesi Africani";"Paese dell'Africa non indicato";"Arrivi";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abbadia San Salvatore";"Paesi Africani";"Sud Africa";"Arrivi";"5.0";"5.0";"2.0";"";"";"";"6.0";"";"";"";"";"1.0";"3.0";"6.0"
"Abbadia San Salvatore";"Paesi Asiatici";"Altri Paesi Asia Occidentale";"Arrivi";"";"";"";"";"";"";"";"";"1.0";"4.0";"2.0";"";"2.0";"1.0"
"Abbadia San Salvatore";"Paesi Asiatici";"Altri Paesi Medio Oriente";"Arrivi";"";"";"2.0";"4.0";"2.0";"4.0";"";"";"";"";"";"";"";""
"Abbadia San Salvatore";"Paesi Asiatici";"Altri Paesi dell'Asia";"Arrivi";"";"";"";"";"";"";"";"";"1.0";"3.0";"1.0";"4.0";"12.0";"5.0"
"Abbadia San Salvatore";"Paesi Asiatici";"Altri Paesi dell'Asia orientale";"Arrivi";"4.0";"15.0";"2.0";"1.0";"3.0";"1.0";"13.0";"";"";"";"";"";"";""
"Abbadia San Salvatore";"Paesi Asiatici";"Cina (incluso Hong Kong)";"Arrivi";"";"15.0";"3.0";"";"9.0";"";"3.0";"33.0";"25.0";"40.0";"30.0";"27.0";"6.0";"24.0"
"Abbadia San Salvatore";"Paesi Asiatici";"Corea del Sud";"Arrivi";"";"";"";"2.0";"";"";"";"2.0";"";"";"2.0";"";"1.0";"17.0"
"Abbadia San Salvatore";"Paesi Asiatici";"Giappone";"Arrivi";"3.0";"3.0";"2.0";"13.0";"11.0";"7.0";"";"47.0";"6.0";"1.0";"1.0";"2.0";"";"7.0"
"Abbadia San Salvatore";"Paesi Asiatici";"India";"Arrivi";"";"";"";"";"2.0";"";"";"4.0";"1.0";"";"1.0";"5.0";"6.0";"6.0"
"Abbadia San Salvatore";"Paesi Asiatici";"Israele";"Arrivi";"9.0";"11.0";"1.0";"22.0";"17.0";"9.0";"14.0";"3.0";"94.0";"9.0";"10.0";"9.0";"7.0";"5.0"
"Abbadia San Salvatore";"Paesi Asiatici";"Paese dell'Asia non indicato";"Arrivi";"";"1.0";"9.0";"";"";"";"";"";"";"";"";"";"";""
"Abbadia San Salvatore";"Paesi dell'Oceania";"Australia";"Arrivi";"19.0";"62.0";"4.0";"12.0";"5.0";"7.0";"11.0";"4.0";"5.0";"2.0";"5.0";"8.0";"14.0";"16.0"
"Abbadia San Salvatore";"Paesi dell'Oceania";"Nuova Zelanda";"Arrivi";"4.0";"";"3.0";"";"1.0";"";"";"";"1.0";"";"1.0";"2.0";"1.0";"4.0"
"Abbadia San Salvatore";"Paesi delle Americhe";"Altri Paesi America Centrale";"Arrivi";"2.0";"2.0";"1.0";"";"4.0";"";"";"2.0";"";"";"";"";"";""
"Abbadia San Salvatore";"Paesi delle Americhe";"Altri Paesi America Latina";"Arrivi";"1.0";"4.0";"4.0";"1.0";"";"1.0";"";"1.0";"";"";"";"";"";""
